Wall time,Step,Value
1534743000.554913,24,139.6847381591797
1534743001.501373,56,72.69519805908203
1534743001.588686,59,69.29656219482422
1534743004.783199,170,26.03459930419922
1534743006.090031,215,21.863862991333008
1534743011.465579,402,13.721858024597168
1534743016.836337,588,10.150583267211914
1534743021.360021,745,8.087322235107422
1534743025.387877,883,6.669327259063721
1534743026.022005,904,6.4826531410217285
1534743029.116389,1008,5.64525032043457
1534743031.469232,1090,5.075279712677002
1534743034.927056,1210,4.360900402069092
1534743036.927545,1279,4.004540920257568
1534743037.737132,1307,3.8706090450286865
1534743050.292487,1742,2.418379068374634
1534743051.442191,1782,2.3313684463500977
1534743051.525566,1785,2.3250746726989746
1534743052.364745,1814,2.2657618522644043
1534743054.148956,1876,2.1480088233947754
1534743054.463887,1887,2.1283133029937744
1534743058.523538,2025,1.9070608615875244
1534743060.984026,2111,1.7899197340011597
1534743066.141966,2291,1.5874437093734741
1534743066.751979,2312,1.5668350458145142
1534743072.381413,2507,1.4003350734710693
1534743072.900689,2525,1.3868131637573242
1534743074.878265,2594,1.33754301071167
1534743079.065335,2739,1.2459101676940918
1534743082.842564,2865,1.1781668663024902
1534743083.17888,2876,1.1725858449935913
1534743088.236106,3032,1.0992976427078247
1534743092.657602,3172,1.0417057275772095
1534743095.865149,3274,1.0038883686065674
1534743097.239949,3318,0.988451361656189
1534743097.283353,3319,0.9881065487861633
1534743098.705217,3364,0.972898542881012
1534743106.704269,3619,0.8951308727264404
1534743110.640113,3743,0.8615093231201172
1534743110.671638,3744,0.8612489104270935
1534743110.924959,3752,0.8591762781143188
1534743111.430114,3768,0.8550561666488647
1534743113.914099,3847,0.8352411389350891
1534743118.716279,3999,0.7995253205299377
1534743119.454854,4020,0.7948524355888367
1534743122.266588,4110,0.7754942178726196
1534743126.530459,4245,0.7482001781463623
1534743127.491196,4275,0.7424641251564026
1534743132.867745,4446,0.7118909358978271
1534743139.360319,4640,0.680753767490387
1534743148.995185,4942,0.6393035650253296
1534743152.5495,5053,0.625619649887085
1534743155.455458,5146,0.614753007888794
1534743165.169957,5455,0.582344651222229
1534743169.627633,5596,0.5691168904304504
1534743172.437922,5686,0.5611680746078491
1534743175.14444,5773,0.553825318813324
1534743185.391781,6095,0.5293570160865784
1534743188.859102,6205,0.5218409299850464
1534743192.855429,6333,0.5134843587875366
1534743198.957116,6527,0.5014790892601013
1534743209.871677,6875,0.48181891441345215
1534743214.166398,7009,0.4749300479888916
1534743216.021391,7068,0.4720381796360016
1534743219.745387,7183,0.466592401266098
1534743221.08493,7225,0.46466824412345886
1534743221.211559,7229,0.464486688375473
1534743225.044695,7349,0.45913925766944885
1534743232.924612,7593,0.44886940717697144
1534743236.888691,7719,0.44387882947921753
1534743240.101763,7820,0.44003164768218994
1534743252.72242,8218,0.4256761968135834
1534743254.64397,8279,0.4235936105251312
1534743257.189345,8358,0.42094627022743225
1534743258.201056,8390,0.41989657282829285
1534743258.433174,8397,0.41966816782951355
1534743261.186414,8485,0.41683560609817505
1534743265.357031,8618,0.4126646816730499
1534743274.549049,8910,0.4038151204586029
1534743282.672192,9165,0.3965136706829071
1534743284.885186,9235,0.3945963382720947
1534743289.600344,9384,0.39061033725738525
1534743289.723506,9388,0.3905048668384552
1534743293.976222,9523,0.38699662685394287
1534743294.557898,9542,0.3865087032318115
1534743297.401652,9633,0.38420581817626953
1534743297.844038,9647,0.3838565945625305
1534743303.759662,9835,0.3792739808559418
1534743303.851155,9838,0.3792024254798889
1534743307.395274,9951,0.3765476942062378
1534743310.616577,10050,0.37428778409957886
1534743311.303264,10072,0.3737885653972626
1534743312.566146,10113,0.37286925315856934
1534743315.756295,10214,0.37063419818878174
1534743319.285585,10327,0.3681584298610687
1534743319.697883,10340,0.36787691712379456
1534743320.872284,10376,0.3671014904975891
1534743320.966497,10379,0.367036908864975
1534743326.684907,10562,0.36314642429351807
1534743327.664475,10593,0.3624958097934723
1534743330.498532,10682,0.3606402575969696
1534743334.419171,10807,0.3580743372440338
1534743335.463339,10840,0.357403039932251
1534743335.867593,10853,0.35714051127433777
1534743337.019275,10890,0.3563986122608185
1534743337.333867,10900,0.3561991751194
1534743338.415199,10934,0.35552340745925903
1534743339.971172,10983,0.35454830527305603
1534743340.67258,11002,0.3541693091392517
1534743341.200029,11019,0.35383209586143494
1534743342.836198,11071,0.35280391573905945
1534743347.41364,11216,0.35000213980674744
1534743348.166631,11240,0.34954094886779785
1534743348.481137,11250,0.3493492901325226
1534743351.379707,11342,0.34762123227119446
1534743353.899344,11422,0.34614861011505127
1534743356.452915,11504,0.344669371843338
1534743359.505847,11601,0.34293654561042786
1534743363.296569,11721,0.34083041548728943
1534743370.131908,11938,0.3370875418186188
